service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2025-10-272025-12-13006214,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-23006221,1,1,1,1,1,1,1,20251009,20251023                                                                                                                                                                                                                                                                                                    
2025-10-242025-10-24006221,1,1,1,1,1,1,1,20251024,20251024                                                                                                                                                                                                                                                                                                    
2025-10-262025-10-26006221,1,1,1,1,1,1,1,20251026,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006221,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006222,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006222,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-23006223,1,1,1,1,1,1,1,20251009,20251023                                                                                                                                                                                                                                                                                                    
2025-10-242025-10-24006223,1,1,1,1,1,1,1,20251024,20251024                                                                                                                                                                                                                                                                                                    
2025-10-262025-10-26006223,1,1,1,1,1,1,1,20251026,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006223,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006224,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006224,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006225,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006225,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006226,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006226,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006251,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006251,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006252,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006252,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006253,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006253,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006254,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006254,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006261,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006261,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006262,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006262,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006263,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006263,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006264,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006264,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006265,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006265,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006266,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006266,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
